prompt_type,prompt_length,concurrency,batch_label,ttft_ms,total_time_ms,tokens_generated,tokens_per_sec,success,error,stop_sequence,cached
short,14,1,short_c1,6295.1092499999995,6367.755333,8,110.12293670396454,True,,,False
short,27,1,short_c1,144.20216699999955,250.6084589999995,8,75.18352392168691,True,,,False
short,22,1,short_c1,130.629667,4238.094375000001,256,62.32555072266247,True,,,False
short,21,1,short_c1,132.66954100000027,441.08500000000106,21,68.08997210480278,True,,,False
short,15,1,short_c1,129.772749999999,4174.598916999999,256,63.29072979417362,True,,,False
short,14,3,short_c3,145.18033400000087,252.31795900000088,8,74.67031306695476,True,,,False
short,22,3,short_c3,310.35483399999816,4265.494167,256,64.72591189494761,True,,,False
short,27,3,short_c3,4325.9547919999995,4435.290457999999,8,73.16917061629292,True,,,False
short,21,3,short_c3,4242.513416999998,4551.316457999998,21,68.00451165246115,True,,,False
short,15,3,short_c3,596.1076250000019,4823.898166999999,256,60.55172257396099,True,,,False
short,22,5,short_c5,172.9698329999998,4303.699999999999,256,61.974515315756776,True,,,False
short,27,5,short_c5,4364.4085,4472.750125000001,8,73.84050220771474,True,,,False
short,21,5,short_c5,4531.495582999998,4878.540208,21,60.5109501407776,True,,,False
short,14,5,short_c5,4939.999167,5047.9640420000005,8,74.09817313269681,True,,,False
short,15,5,short_c5,5253.393042000002,9222.218417,256,64.5027119642421,True,,,False
long,175,1,long_c1,200.19445799999858,4086.277540999994,256,65.87610057023588,True,,,False
long,169,1,long_c1,178.48204199999884,4319.669458999996,256,61.81801841401668,True,,,False
long,212,1,long_c1,174.01120800000314,4196.7890000000025,256,63.63761888839622,True,,,False
long,156,1,long_c1,204.31129199999987,4396.990750000001,256,61.05880560736154,True,,,False
long,207,1,long_c1,190.84837500000162,4365.789042000003,256,61.31823669339824,True,,,False
long,175,3,long_c3,218.21879200000183,4295.916708999996,256,62.78052107114935,True,,,False
long,169,3,long_c3,4405.593375000002,8737.927250000006,256,59.090551971828305,True,,,False
long,212,3,long_c3,8849.209375,12974.925208000002,256,62.04983822500699,True,,,False
long,156,3,long_c3,8785.494041000007,12904.187541,256,62.155632605339655,True,,,False
long,207,3,long_c3,8566.243459000007,12577.928334000006,256,63.81358655445238,True,,,False
short,14,1,short_c1_stop,141.43733299999894,249.53179099999545,8,74.00934467889425,True,,"['\n', '.']",False
short,27,1,short_c1_stop,131.49070799998697,227.72279099999082,7,72.74081347693284,True,,"['\n', '.']",False
short,22,1,short_c1_stop,131.64374999999495,440.2444999999915,21,68.04908931686082,True,,"['\n', '.']",False
short,21,1,short_c1_stop,140.00070900000594,433.42920899999626,20,68.159705004799,True,,"['\n', '.']",False
short,15,1,short_c1_stop,137.54612500000007,651.5122499999961,33,64.2065661428567,True,,"['\n', '.']",False
long,175,1,long_c1_stop,176.56541600000253,1242.072125000007,69,64.75792166973555,True,,['\n\n'],False
long,169,1,long_c1_stop,172.4978750000048,398.52087500000266,15,66.3649274631349,True,,['\n\n'],False
long,212,1,long_c1_stop,173.21104200000548,488.61624999999265,21,66.58101853537198,True,,['\n\n'],False
long,156,1,long_c1_stop,172.8381249999984,593.8602499999917,28,66.50481848192764,True,,['\n\n'],False
long,207,1,long_c1_stop,173.3841669999947,280.548667000005,8,74.65158704607617,True,,['\n\n'],False
